                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2746,                 3.2787,                  1.823,                 1.1706,                 9.2744,                 1.7337,                0.79858,                0.36487,                0.48025,                0.37009,                 1.0303,                 4.3402,                 1.6989,                0.88678,                 14.044,                 1.4772,             0.00018326,             0.00018326,             0.00018326
                      2,                 1.3414,                 2.1194,                 1.8673,                 1.2851,                 4.9539,                 1.7032,                0.50206,                  0.125,                0.16173,                0.07904,                 1.7768,                 12.959,                 2.7249,                 2.0002,                 15.222,                 3.1162,             0.00036001,             0.00036001,             0.00036001
                      3,                 1.3479,                 1.9287,                 1.8562,                  1.382,                 3.2883,                 1.8275,                0.53373,                0.26255,                0.13299,                0.06263,                 1.5286,                 8.0277,                 2.2453,                 1.3535,                 7.5755,                 2.2327,             0.00052158,             0.00052158,             0.00052158
                      4,                 1.4842,                 1.9712,                 2.0239,                 1.4307,                 3.0313,                 1.9711,                0.86693,                 0.0625,                0.11022,                0.03629,                   3.11,                 343.68,                 4.7799,                 2.7537,                 7.4401,                 4.6453,             0.00066798,             0.00066798,             0.00066798
                      5,                 1.4866,                 1.7762,                 2.0039,                  1.541,                 2.4909,                 2.0364,                0.78542,                 0.1875,                0.37748,                0.18189,                 1.9388,                 4.8735,                 2.7429,                 2.5902,                 14.399,                 2.9094,             0.00070105,             0.00070105,             0.00070105
                      6,                 1.4256,                 1.7257,                  1.929,                 1.5464,                 2.3848,                 2.0213,                0.70905,                0.20838,                0.46387,                0.22073,                 1.8127,                 2.5391,                 2.5636,                 2.1139,                 4.6809,                 2.5232,             0.00070105,             0.00070105,             0.00070105
                      7,                 1.4055,                 1.5041,                 1.9417,                 1.4343,                 2.0342,                 1.9475,                0.93273,                   0.25,                0.26193,                0.14984,                 1.4175,                 3.0888,                 1.9359,                 1.4567,                 4.5635,                 2.0736,             0.00066807,             0.00066807,             0.00066807
                      8,                 1.2985,                 1.3309,                 1.8558,                 1.3341,                 1.7486,                 1.8937,                0.50487,                0.23605,                0.23373,                0.14513,                 1.6652,                 2.9386,                 2.1791,                 1.3699,                 3.9066,                 2.0466,             0.00063508,             0.00063508,             0.00063508
                      9,                 1.3086,                  1.296,                 1.8699,                 1.3846,                 1.6705,                 1.9301,                0.75313,                0.21967,                0.36972,                0.22151,                 1.7713,                 3.7101,                 2.3613,                  1.678,                 5.7128,                 2.1662,             0.00060209,             0.00060209,             0.00060209
                     10,                 1.3438,                 1.2008,                 1.8579,                 1.3703,                 1.5238,                 1.8913,                0.68147,                0.52069,                 0.5711,                0.34961,                 1.4964,                 4.5432,                 2.5176,                 1.5332,                 3.6613,                 2.2341,             0.00056911,             0.00056911,             0.00056911
                     11,                 1.2991,                 1.2175,                 1.8619,                 1.3478,                 1.5336,                 1.9112,                0.44968,                    0.5,                0.57107,                0.38253,                  1.167,                 1.7124,                 1.6525,                 1.2334,                 2.5215,                 1.8756,             0.00053612,             0.00053612,             0.00053612
                     12,                 1.3475,                 1.1915,                 1.8711,                 1.4245,                 1.4631,                 1.9117,                 0.8124,                0.53405,                0.83303,                0.59787,                 1.3473,                 1.7206,                 2.0219,                 1.1576,                 2.1462,                 1.8596,             0.00050313,             0.00050313,             0.00050313
                     13,                 1.2195,                  1.112,                 1.8259,                 1.3293,                 1.3987,                 1.8682,                 0.6059,                0.73194,                0.67177,                0.52356,                 1.1875,                 1.3515,                 1.7204,                 1.1272,                 1.7335,                  1.698,             0.00047015,             0.00047015,             0.00047015
                     14,                 1.2191,                  1.018,                 1.7866,                 1.2752,                 1.2528,                 1.8309,                0.81385,                0.73679,                0.91198,                0.67777,                 1.0022,                 1.0754,                 1.5702,                0.87401,                 1.4201,                 1.6183,             0.00043716,             0.00043716,             0.00043716
                     15,                 1.2471,                 1.0479,                 1.8114,                 1.2796,                 1.3097,                 1.8209,                0.60405,                 0.8125,                 0.7999,                0.55906,                 1.0473,                 1.0738,                 1.6173,                 1.0573,                 1.3796,                 1.6204,             0.00040417,             0.00040417,             0.00040417
                     16,                  1.054,                0.97601,                 1.7403,                 1.1498,                 1.2158,                 1.8142,                 0.6546,                0.75799,                0.90869,                0.69618,                0.97504,                0.80701,                   1.55,                0.94656,                 1.1729,                 1.4469,             0.00037118,             0.00037118,             0.00037118
                     17,                0.96337,                 0.8649,                 1.6533,                 1.0533,                 1.1793,                 1.7163,                0.72325,                0.79073,                0.95333,                0.79796,                0.89712,                0.81118,                 1.4518,                0.90626,                0.97076,                  1.441,              0.0003382,              0.0003382,              0.0003382
                     18,                0.93271,                0.78745,                 1.6381,                0.98719,                 1.0307,                 1.6631,                0.61694,                0.93592,                0.87448,                 0.6966,                 1.1214,                0.88795,                 1.6747,                 1.0735,                 1.0425,                 1.5838,             0.00030521,             0.00030521,             0.00030521
                     19,                0.91473,                0.71185,                 1.5915,                0.96554,                0.92757,                 1.6517,                0.44783,                 0.9558,                0.77094,                0.63407,                0.84226,                0.87131,                 1.4569,                0.97343,                0.95234,                 1.5177,             0.00027222,             0.00027222,             0.00027222
                     20,                 0.9477,                0.70699,                 1.6011,                0.97819,                0.78846,                 1.6261,                0.62846,                      1,                0.96375,                0.79033,                 0.8935,                0.54373,                 1.4159,                0.87247,                0.99912,                 1.3802,             0.00023924,             0.00023924,             0.00023924
                     21,                 0.9039,                0.63976,                  1.537,                0.94338,                0.77609,                 1.5533,                0.91455,                0.93667,                  0.995,                0.84789,                0.77444,                0.51705,                 1.3738,                0.78821,                0.56763,                  1.281,             0.00020625,             0.00020625,             0.00020625
                     22,                0.86757,                0.58947,                 1.5333,                0.91521,                0.71034,                 1.5728,                0.90152,                0.92275,                0.97417,                0.84564,                0.74963,                0.59184,                 1.3779,                0.73078,                0.58341,                 1.2646,             0.00017326,             0.00017326,             0.00017326
                     23,                0.86419,                0.63144,                 1.4963,                0.92107,                0.73944,                 1.5353,                0.83949,                0.83074,                0.97417,                0.81572,                0.82239,                0.53862,                 1.3893,                0.78412,                0.63285,                 1.2087,             0.00014028,             0.00014028,             0.00014028
                     24,                0.84466,                0.57292,                 1.4872,                0.87155,                0.64256,                 1.5249,                0.88688,                 0.8125,                0.97417,                0.81326,                0.77368,                0.53429,                 1.3522,                0.76243,                0.60033,                  1.374,             0.00010729,             0.00010729,             0.00010729
                     25,                0.80188,                0.56655,                 1.4418,                0.81558,                0.58018,                 1.4743,                0.87026,                  0.875,                0.97417,                0.82173,                0.80269,                0.52667,                 1.3633,                0.78658,                0.63219,                 1.2773,             7.4304e-05,             7.4304e-05,             7.4304e-05
